"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"A Taste Of Home",4.5,200,43,0,1,1,0,0,0,"Haridwar",1
"A TO Z Burger Biryani And Paratha",3.5,200,25,0,0,1,0,0,0,"Kota",1
"A To Z Fast Food",3.6,250,38,0,0,1,0,0,0,"Udaipur",1
"A To Z Food Corner",3.5,100,35,0,0,0,1,0,0,"Jabalpur",1
"A To Z Palamudir Nilayam",4.1,200,22,0,0,0,0,0,0,"Coimbatore",1
"A TO Z Pizza",3.8,150,27,0,1,1,0,1,0,"Kota",1
"A To Z Restaurant",3.3,100,28,0,1,1,0,1,0,"Palakkad",1
"A To Z Rolls",3.3,250,27,0,1,1,0,1,0,"Kota",1
"A Vinis Bakery",3.6,250,33,0,0,0,0,0,1,"Indore",1
"A. J. Cool Bar",3.6,300,43,0,0,1,0,0,0,"Tirunelveli",1
"A.M Biriyani",4.1,150,29,0,0,0,0,1,0,"Trichy",1
"A.P.S Chat",3.8,150,56,0,0,0,1,0,0,"Chennai",1
"A.R Modern Rythu Chicken Bazar",4.1,50,30,0,1,0,0,1,0,"Warangal",1
"A.R. Biryani Point",4.4,300,18,0,0,0,0,1,0,"Guntur",1
"A.R.C Sasi's Chat & More",3.6,150,31,0,1,1,0,1,0,"Coimbatore",1
"A.S.I.N Kitchen",4.3,100,46,0,0,1,0,0,0,"Goa",1
"A1 Ambur Briyani & Kababs",3.8,200,42,0,0,0,0,1,0,"Chennai",1
